id,name,name_2,type,sex,age,education,media,level
Walder,Marc Walder,Walder,1,1,4,5,99,2
HAZE,Handelszeitung,HAZE,2,99,99,99,3,2
POLMA,Politico Magazin,POLMA,2,99,99,99,1,2
RING,Ringier AG Schweiz,RING,2,99,99,99,1,2
SCT,Scout24 AG CH,SCT,2,99,99,99,2,2
ADM,Admeira AG,ADM,2,99,99,99,2,2
RIAF,Ringier Afrika AG,RIAF,2,99,99,99,1,2
JOCL,JobCloud AG,JOCL,2,99,99,99,2,2
TICO,Ticketcorner AG,TICO,2,99,99,99,2,2
Blodget,Henry Blodget,Blodget,1,1,4,1,99,2
HM,Harper`s Magazine,HM,2,99,99,99,1,2
OPP,Oppenheimer&Co.,OPP,2,99,99,99,2,2
ML,Merill Lynch,ML,2,99,99,99,2,2
CHR,Cherry Hill Research,CHR,2,99,99,99,2,2
Ryan,Kevin P. Ryan,Ryan,1,1,99,2,99,2
DC,DoubleClick,DC,2,99,99,99,2,2
AC,Alley Corp,AC,2,99,99,99,1,2
HRW,Human Rights Watch,HRW,2,99,99,99,2,2
NYIF,The NYC Investment Fund,NYIF,2,99,99,99,2,2
INS,INSEAD (Business School),INS,2,99,99,99,2,2
YU,Yale University,YU,2,99,99,99,2,2
YIC,Yale International Council,YIC,2,99,99,99,2,2
GG,Gilt Group,GG,2,99,99,99,2,2
MO,Mongo DB,MO,2,99,99,99,2,2
Merriman,Dwight Merriman,Merriman,1,1,99,1,99,2
Schwecke,Carsten Schwecke,Schwecke,1,1,3,1,99,2
TRZ,Travelzoo,TRZ,2,99,99,99,2,2
IDMM,IQ Digital Media Marketing,IDMM,2,99,99,99,1,2
Hermann,Ralf Hermann,Hermann,1,1,4,1,99,2
Sakowski,Daniela Sakowski,Sakowski,1,2,5,99,99,2
FZM,FUNKE Zeitschriften Marketing GmbH,FZM,2,99,99,99,1,2
Wehrle,Julia Wehrle,Wehrle,1,2,2,1,99,2
Madel,Stephan Madel,Madel,1,1,3,5,99,2
WZ,Westdeutsche Zeitung,WZ,2,99,99,99,1,2
Doering,Knut Doering,Doering,1,1,3,1,99,2
BTO,Bild.T-Online.de AG,BTO,2,99,99,99,1,2
Christiansen,Tim Christiansen,Christiansen,1,1,2,2,99,2
BASF,BASF SE,BASF,2,99,99,99,2,2
SVG,SevenVentures GmbH,SVG,2,99,99,99,2,2
Moelling,Stefan Moelling,Moelling,1,1,2,1,99,2
RMS,RMS Radio Marketing Service GmbH ,RMS,2,99,99,99,1,2
Schoenwandt,Matthias Schoenwandt,Schoenwandt,1,1,4,99,99,2
Dekan,Mark Dekan,Dekan,1,1,99,2,99,2
Jasvoin,Elena Jasvoin,Jasvoin,1,2,2,99,99,2
ZEPP,Zeppelin Holding,ZEPP,2,99,99,99,2,2
RCIS,Russia & CIS,RCIS,2,99,99,99,2,2
Kutela,Aleksander Kutela,Kutela,1,1,3,2,99,2
